id,name,cluster,fitness,gdp
40,Austria,1,1.111835181108538,26700.0
56,Belgium,2,3.1562612472764324,25200.0
100,Bulgaria,0,0.06869310696760837,1800.0
191,Croatia,0,0.06375171214952766,5500.0
196,Cyprus,0,0.010620907341873372,15600.0
203,Czechia,2,0.5843947159859143,6500.0
208,Denmark,1,0.9282120449510636,33300.0
233,Estonia,1,0.04598068544465249,4400.0
246,Finland,1,0.7320863659297514,26300.0
251,France,2,5.1811452009115335,24300.0
276,Germany,2,9.543193852522842,26000.0
300,Greece,0,0.16182476224012912,13200.0
348,Hungary,1,0.3474139124616139,5000.0
372,Ireland,1,1.0787742118004324,28500.0
381,Italy,2,5.362899881471377,21800.0
428,Latvia,0,0.02397054632830449,3600.0
440,Lithuania,0,0.04842850905808236,3600.0
442,Luxembourg,1,0.15615771300235695,52800.0
470,Malta,0,0.019109085543828088,11300.0
528,Netherlands,1,3.0342129982025052,28400.0
616,Poland,2,0.5383122133557269,4900.0
620,Portugal,2,0.5004584572225425,12500.0
642,Romania,0,0.12206311102915415,
703,Slovakia,2,0.16291392370564778,4100.0
705,Slovenia,2,0.15050742744708456,11000.0
752,Sweden,1,1.294517666229524,31800.0
724,Spain,2,2.0177649378248943,15900.0
826,United Kingdom,1,4.700314604243836,30400.0
